,party,chlab,chbus,chmaj,chrep,chsafe,chfrosh,chprest,chvotrec,inlead
152,1,-700,-64408,-1,0,-0.105274200439453,0,0,5.31154155731201,0
153,1,-25500,102270,-1,0,0.0122032165527344,0,0,6.63942718505859,0
154,1,35500,77733,-1,0,-0.0129218101501465,0,0,0.0510730743408203,0
155,1,-2600,7600,-1,0,-0.275393486022949,-1,0,-3.31971454620361,0
156,1,-2500,-84404,0,1,-0.0907907485961914,0,0,24.9233894348145,0
157,1,16000,61914,-1,0,-0.0644617080688477,0,0,0.306434631347656,0
158,1,-12610,-53050,-1,0,-0.032738208770752,0,0,-17.5689468383789,0
159,2,-500,20125,1,0,0.289575099945068,-1,0,17.9775238037109,0
160,1,70300,53231,-1,0,-0.106966495513916,0,0,2.50255584716797,0
161,1,54999,72606,-1,0,-0.0380396842956543,0,0,10.8273735046387,0
162,1,-46310,10801,-1,0,0.176455020904541,-1,0,9.95914077758789,0
163,1,42006,-22346,-1,0,0.0314862728118896,0,0,-2.50255584716797,0
164,2,0,59668,1,0,0.0478906631469727,0,0,11.8998947143555,0
165,2,3500,7752,1,0,0.0931596755981445,0,0,12.6149063110352,0
166,1,27950,-52141,-1,0,0.0287909507751465,0,0,3.42185974121094,0
167,2,6900,64044,1,0,0.0976109504699707,0,0,13.5342140197754,0
168,2,9746,-4134,1,0,0.0767612457275391,0,0,15.0663948059082,0
169,2,-1550,61690,1,0,0.0375490188598633,0,0,6.89479064941406,0
170,1,-4608,23382,-1,0,0.133610248565674,0,0,-2.55362701416016,0
171,2,7650,98129,1,0,0.0870938301086426,-1,0,7.25230026245117,0
172,1,51940,27088,-1,0,-0.0245876312255859,0,0,-0.153215408325195,0
173,1,33000,-1900,-1,0,0.0846590995788574,-1,0,2.29826545715332,0
174,2,5200,1784,1,0,0.165717124938965,0,0,8.47803497314453,0
175,2,-50,90750,1,0,0.163838386535645,0,0,17.0071487426758,0
176,1,28050,148731,-1,0,-0.0614361763000488,0,0,5.51583099365234,0
177,2,18585,196770,1,0,0.287602186203003,-1,0,10.2655754089355,0
178,2,57850,77029,1,0,0.145584344863892,-1,0,5.822265625,0
179,1,-69550,13700,-1,0,0.039621114730835,0,0,2.86006164550781,0
180,1,-6500,-43582,-1,0,-0.00736904144287109,0,0,5.46476173400879,0
181,1,-34573,-67086,-1,0,0.423734188079834,0,0,4.7497444152832,0
182,1,-22073,-11965,-1,0,-0.0062870979309082,-1,0,3.31971454620361,0
183,1,66677,103600,-1,0,-0.319998741149902,0,0,7.45658874511719,0
184,1,17235,-3760,-1,0,-0.0987601280212402,0,0,5.00510692596436,0
185,1,12289,-8093,-1,0,-0.10131311416626,0,0,-2.34933614730835,0
186,1,-56898,-22264,-1,0,0.153886318206787,-1,0,-0.0510745048522949,0
187,2,25850,224273,1,0,0.218222141265869,0,0,14.6067390441895,0
188,1,-96975,-76508,-1,0,0.2320716381073,-1,0,-2.04289817810059,0
189,1,23652,-68164,-1,0,0,0,0,3.3707857131958,0
190,1,-4973,-25063,-1,0,0.0894546508789062,0,0,4.13687610626221,0
191,1,-26448,-9359,-1,0,-0.0517668724060059,0,0,4.08580112457275,0
192,1,31312,-26814,-1,0,0.0485739707946777,0,0,2.91113662719727,0
193,2,-23113,22015,1,0,0.00668048858642578,0,0,16.853931427002,0
194,1,48785,8368,-1,0,0.0550837516784668,0,0,7.66087913513184,0
195,2,5485,217577,1,0,0.115440368652344,0,0,8.88661956787109,0
196,2,45164,75944,1,0,0.0829086303710938,0,0,11.4402465820312,0
197,2,3350,79753,1,0,0.0878715515136719,-1,0,5.51583099365234,0
198,2,5500,108086,1,0,0.0331788063049316,0,0,11.8998985290527,0
199,1,88020,-16128,-1,0,-0.0310263633728027,-1,0,-5.97548484802246,0
200,2,7000,248537,1,0,0.159709930419922,0,0,9.09091186523438,0
201,1,8150,-40066,-1,0,0.050999641418457,0,-1,-2.45148277282715,0
202,1,12875,18167,-1,0,-0.00859451293945312,0,0,-3.62614631652832,0
203,2,62612,30603,1,0,0.231528997421265,-1,0,5.87334442138672,0
204,2,5527,75142,1,0,0.296494483947754,0,0,14.9642448425293,0
205,1,-35300,-47935,-1,0,-0.108488082885742,-1,0,3.62615203857422,0
206,2,4000,80230,1,0,0.345522880554199,0,0,3.88150787353516,0
207,1,50051,-36892,-1,0,-0.155140399932861,0,0,7.405517578125,0
208,2,-1000,34874,1,0,0.0910310745239258,0,0,9.09091186523438,0
209,2,1150,-55453,1,0,0.0952253341674805,0,0,10.8273696899414,0
