candname,party,chLab,chbus,chmaj,chdem,chsafe,chfrosh,chprest,chvotrec,inlead
Paul E Kanjorski (D),D,100891.06,1676898.69,1,0,0,0,0,0.300000012,0
Christopher Shays (R),R,-83764.8,1022083.664,-1,0,-0.003004588,0,0,2.599999905,0
Shelley Moore Capito (R),R,-5129.145,845536.976,-1,0,-0.003773805,0,-1,2.5,0
James E Clyburn (D),D,0,792306.321,1,0,-0.005645455,0,-1,-0.899999976,1
Joe Knollenberg (R),R,160216.143,755036.508,-1,0,-0.026749417,0,0,0.600000024,0
Charles B Rangel (D),D,16316.6,685537.829,1,0,0.00266593,0,0,-0.699999988,0
Phil English (R),R,-25515.5,619050.562,-1,0,-0.015091719,0,0,1.200000048,0
John D Dingell (D),D,35373.6,506660.132,1,0,0,0,0,-0.100000001,0
Steny H Hoyer (D),D,-29421.057,489688.9,1,0,0,0,0,-0.600000024,0
Dave Camp (R),R,5245,489285.622,-1,0,-0.011836488,0,0,2.400000095,0
Steve Kagen (D),D,22557.061,408519.575,1,0,0,0,0,0,0
Kendrick B Meek (D),D,-37521.25,407976.898,1,0,0,-1,1,0,0
Rahm Emanuel (D),D,-34385.86,385008.742,1,0,0.005119134,-1,0,0,0
Artur Davis (D),D,38048,355280.762,1,0,0,-1,1,0,0
Mark Kirk (R),R,999.5,348448.572,-1,0,-0.03990642,0,0,3.400000095,0
Richard E Neal (D),D,29851.425,344894.892,1,0,0,0,0,1,0
Bart Gordon (D),D,4110.325,333422.188,1,0,0.007956471,0,0,-0.5,0
Allyson Schwartz (D),D,-37925.172,324485.925,1,0,0.030533075,-1,1,0,0
Nancy Pelosi (D),D,-23088.1,321791.6,1,0,0.001017062,0,0,-1,0
Joe Courtney (D),D,-19682.757,312627.908,1,0,0,0,0,0,0
Chris Van Hollen (D),D,11100.815,305426.229,1,0,0.008033643,-1,1,0,0
Bennie G Thompson (D),D,-32074.7,287151.36,1,0,0.018812036,0,0,-1.399999976,0
Adam H Putnam (R),R,0,286146.425,-1,0,0,0,-1,-0.300000012,0
Michael Arcuri (D),D,-95383.525,286054.581,1,0,0,0,0,0,0
Xavier Becerra (D),D,8807.5,279398.175,1,0,0,0,0,-2.200000048,0
Ellen O Tauscher (D),D,7731.45,278653.903,1,0,0.002419084,0,0,1.200000048,0
John Barrow (D),D,-40927.795,278439.053,1,0,-0.006414671,-1,0,0,0
